State,User Count
Andaman & Nicobar,21731
Andhra Pradesh,9389003
Arunachal Pradesh,95885
Assam,1500128
Bihar,6589759
Chandigarh,240439
Chhattisgarh,2191066
Dadra and Nagar Haveli and Daman and Diu,158580
Delhi,6165448
Goa,278940
Gujarat,7574645
Haryana,5178030
Himachal Pradesh,772603
Jammu & Kashmir,631193
Jharkhand,2604854
Karnataka,11968087
Kerala,2550167
Ladakh,35516
Lakshadweep,1747
Madhya Pradesh,7301172
Maharashtra,18776975
Manipur,117747
Meghalaya,74746
Mizoram,28696
Nagaland,66891
Odisha,4845359
Puducherry,156458
Punjab,2600112
Rajasthan,8783935
Sikkim,70999
Tamil Nadu,7429609
Telangana,9046007
Tripura,217644
Uttar Pradesh,14316349
Uttarakhand,1414339
West Bengal,8612795
